Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,GIDTR
0.5406001,0.9320416,-1.0207036,-0.7325391,0.08723233,-2.639711,1.0398932,-3.7271283,-0.89396054,-1.6067901,53033004901
0.7873567,-0.77663475,-1.9646046,-1.9014758,-0.40475002,-1.4386648,0.44645438,-1.3595656,-2.2061832,-0.5848228,53033004902
0.28584683,2.893226,-2.4338424,-1.8595287,1.1666651,0.43189248,-1.5597237,-1.0223671,-3.1031525,-3.3686085,53033005000
-3.0532556,-1.2886358,-1.8061692,-3.35631,-0.119052365,-4.1419096,1.0341388,-0.44533837,-2.1249492,0.47817943,53033005100
0.05027003,-6.2662272,-3.3106947,-12.187452,-4.304415,-3.426194,-1.0654523,0.40677685,10.496516,3.8277614,53033005201
1.682568,4.3396273,4.40759,-14.938565,-6.593171,-7.0876546,0.039048705,-12.227377,9.944025,3.5064764,53033005202
-2.2520874,2.340621,0.3102813,0.09661443,-8.216985,-6.154048,-1.1594049,-15.418082,15.289514,2.1472585,53033005304
-1.1898687,1.6953887,4.4613004,-10.442566,-8.176407,0.32350832,-5.670309,-12.670929,12.1069565,3.172661,53033005305
0.44148812,5.897788,3.7337134,-11.638445,-3.7325034,-0.24154441,4.236391,-12.37561,9.598622,2.2423744,53033005306
5.6683335,2.971212,1.4225885,-9.346432,-6.263625,-3.8829892,3.2739658,-6.90618,7.691137,2.9531267,53033005307
-1.8607061,-1.2229263,-2.4808502,-1.0070453,-0.6935265,-1.4993078,0.46693784,-2.2602654,-1.4942381,-0.66367155,53033005401
0.6034024,0.5568545,-2.839216,-0.18136647,-1.1415001,-4.6829147,0.21039313,-2.696306,-1.890654,3.3606217,53033005402
-3.1055934,-1.859651,-0.88784957,0.6361655,-0.13603921,-2.0088909,0.7715108,-10.004569,-0.5802455,-0.50099385,53033005600
-2.9117918,-1.1363776,-2.1026392,-0.834905,-1.0214546,-1.3522836,1.0792828,-5.7081966,-2.3034523,-0.35768065,53033005700
-1.4746101,-0.8320456,-1.7672286,-0.2762989,-1.1148088,-1.1233294,1.3721797,-4.1397686,-2.921662,-0.54027385,53033005801
-0.94739306,-0.4307033,-0.27118462,-1.6400357,-1.0195633,-0.93311083,0.060867917,-10.887393,-0.2187963,-0.5199248,53033005803
2.0176673,-0.43522456,-0.92195624,-0.4457924,0.0014287173,-2.0201218,0.6341111,-1.1636496,-0.3564001,-2.0072377,53033005804
-1.381777,-1.9764658,-0.87723136,0.1175175,1.5192086,-0.5095311,0.20585558,-8.815464,-2.1303506,0.5876781,53033005901
-1.7509277,-0.39788565,-0.477016,-1.6004457,1.8398694,0.57880014,0.6472099,-8.541361,-1.85531,-0.1810964,53033005902
-0.7063807,-2.336953,-1.0168376,-0.8000745,-0.4024807,-1.0341017,-0.40952507,-5.3529997,-2.1405332,-2.0821586,53033006000
-1.6654675,-9.892114,-2.27912,-11.794679,-4.5166106,-2.0069487,-0.56619865,0.5358566,11.007877,6.8152337,53033006100
-5.9112425,-6.3084283,-2.324687,-2.1567492,-1.9066278,-1.2554691,-0.8082167,-2.773411,-3.995689,-3.8676574,53033006200
-4.683091,-0.86071026,-3.778763,-1.8887154,0.6367304,-2.1428254,-1.1024687,-13.407696,-2.938181,-2.074559,53033006300
-0.8669129,-3.002752,0.53072137,-0.21777806,1.1387944,-1.5395192,0.1907673,-1.7037605,-2.2012398,3.0865788,53033006400
-8.045529,-7.4332614,-2.170316,-5.6504188,-3.4173534,-3.6934884,0.15557882,-0.45041505,-3.0446994,4.438451,53033006500
0.7136559,14.329306,0.36246863,-0.91288686,1.5659133,1.3199602,3.8984227,2.2411652,-0.051535916,10.0990505,53033006600
3.6373718,13.800396,11.946089,0.20797402,4.8036504,-2.8717473,3.8831482,4.7420416,-2.0661998,1.5525192,53033006701
1.6466937,1.3118464,10.40304,-4.038382,-1.4335938,0.837323,-0.24155281,2.730781,-0.93487716,15.747247,53033006702
-0.3631376,-8.597095,-1.1689178,-5.6716104,-1.4021459,-5.9020853,1.3273557,-9.025789,16.512657,1.1098796,53033006703
-4.2341704,0.14196147,-0.8910293,-1.3817414,-0.030459251,-1.1701368,-0.365222,-2.3336604,-2.9293995,-0.65212166,53033006800
-3.764969,-1.793508,-1.2345413,-2.012379,-0.08930949,-2.8042467,2.8362648,4.404136,-1.561851,1.1550887,53033006900
